year,base,type
2019,4.4,CVE
2021,4.9,CVE
2023,8.8,CVE
2023,8.8,CVE
2017,9,CVE
2023,6.7,CVE
2022,9.9,CVE
2022,7.6,CVE
2021,8.8,CVE
2020,8.1,CVE
2023,7.2,CVE
2022,6.5,CVE
2017,9,CVE
2017,9.9,CVE
2023,9.8,CVE
2023,8.8,CVE
2018,8.7,CVE
2019,6.4,CVE
2023,6.5,CVE
2022,7.8,CVE
2020,7.1,CVE
2022,8.1,CVE
2023,8.8,CVE
2021,10,CVE
2018,7.6,CVE
2022,10,CVE
2018,8.6,CVE
2022,6.7,CVE
2023,5.2,CVE
2022,6.5,CVE
2018,9.9,CVE
2018,5.7,CVE
2020,7.5,CVE
2020,7.6,CVE
2017,9.6,CVE
2022,6.7,CVE
2022,6.9,CVE
2023,8.8,CVE
2021,9.8,CVE
2022,6.7,CVE
2022,6.7,CVE
2023,8.1,CVE
2023,7.2,CVE
2022,2.7,CVE
2018,9.1,CVE
2023,9,CVE
2018,7.6,CVE
2023,7.5,CVE
2020,7.1,CVE
2021,6.5,CVE
2021,7.1,CVE
2017,7.5,CVE
2018,5.3,CVE
2018,8.1,CVE
2018,9,CVE
2017,5.4,CVE
2021,10,CVE
2022,6.8,CVE
2023,6.7,CVE
2023,9.8,CVE
2017,9.9,CVE
2018,8.2,CVE
2018,10,CVE
2023,8.6,CVE
2018,9.6,CVE
2022,6.7,CVE
2022,2.7,CVE
2017,8.5,CVE
2017,8.5,CVE
2020,8.3,CVE
2017,9.6,CVE
2022,8.3,CVE
2023,6.7,CVE
2021,7.5,CVE
2019,6.2,CVE
2023,7.2,CVE
2018,7.5,CVE
2023,10,CVE
2018,5.3,CVE
2021,4.2,CVE
2023,9.8,CVE
2023,7.2,CVE
2020,7.5,CVE
