year,base,type
2019,4.4,CVE
2021,4.9,CVE
2023,8.8,CVE
2023,8.8,CVE
2017,9,CVE
2023,6.7,CVE
2022,9.9,CVE
2022,7.6,CVE
2021,8.8,CVE
2020,8.1,CVE
2023,7.2,CVE
2022,6.5,CVE
2017,9,CVE
2017,9.9,CVE
2023,9.8,CVE
2023,8.8,CVE
2018,8.7,CVE
2019,6.4,CVE
2023,6.5,CVE
2022,7.8,CVE
2020,7.1,CVE
2022,8.1,CVE
2023,8.8,CVE
2021,10,CVE
2018,7.6,CVE
2022,10,CVE
2018,8.6,CVE
2022,6.7,CVE
2023,5.2,CVE
2022,6.5,CVE
2018,9.9,CVE
2018,5.7,CVE
2020,7.5,CVE
2020,7.6,CVE
2017,9.6,CVE
2022,6.7,CVE
2022,6.9,CVE
2023,8.8,CVE
2021,9.8,CVE
2022,6.7,CVE
2022,6.7,CVE
2023,8.1,CVE
2023,7.2,CVE
2022,2.7,CVE
2018,9.1,CVE
2023,9,CVE
2018,7.6,CVE
2023,7.5,CVE
2020,7.1,CVE
2021,6.5,CVE
2021,7.1,CVE
2017,7.5,CVE
2018,5.3,CVE
2018,8.1,CVE
2018,9,CVE
2017,5.4,CVE
2021,10,CVE
2022,6.8,CVE
2023,6.7,CVE
2023,9.8,CVE
2017,9.9,CVE
2018,8.2,CVE
2018,10,CVE
2023,8.6,CVE
2018,9.6,CVE
2022,6.7,CVE
2022,2.7,CVE
2017,8.5,CVE
2017,8.5,CVE
2020,8.3,CVE
2017,9.6,CVE
2022,8.3,CVE
2023,6.7,CVE
2021,7.5,CVE
2019,6.2,CVE
2023,7.2,CVE
2018,7.5,CVE
2023,10,CVE
2018,5.3,CVE
2021,4.2,CVE
2023,9.8,CVE
2023,7.2,CVE
2020,7.5,CVE
2019,4.4,vendor
2022,8.8,vendor
2022,8.8,vendor
2021,4.9,vendor
2020,7.5,vendor
2021,7.8,vendor
2021,9.8,vendor
2019,8.3,vendor
2023,8.8,vendor
2017,6.5,vendor
2019,6.1,vendor
2023,8.8,vendor
2016,9.8,vendor
2018,8.8,vendor
2018,8.8,vendor
2017,9.0,vendor
2018,8.1,vendor
2020,8.8,vendor
2023,6.7,vendor
2022,9.9,vendor
2021,6.5,vendor
2019,7.8,vendor
2022,7.6,vendor
2021,8.8,vendor
2022,8.8,vendor
2020,8.1,vendor
2023,7.2,vendor
2022,6.5,vendor
2017,9.0,vendor
2018,9.8,vendor
2020,7.8,vendor
2016,7.8,vendor
2017,9.9,vendor
2023,5.4,vendor
2023,9.8,vendor
2021,9.8,vendor
2020,8.4,vendor
2023,8.8,vendor
2020,9.8,vendor
2018,8.7,vendor
2019,4.9,vendor
2021,9.8,vendor
2019,9.8,vendor
2018,7.8,vendor
2019,6.4,vendor
2019,4.9,vendor
2023,6.7,vendor
2018,9.8,vendor
2023,0.0,vendor
2022,8.8,vendor
2023,5.4,vendor
2018,6.4,vendor
2022,4.8,vendor
2020,7.1,vendor
2022,8.1,vendor
2019,7.5,vendor
2018,9.8,vendor
2017,7.8,vendor
2019,7.2,vendor
2019,8.1,vendor
2018,6.6,vendor
2023,8.8,vendor
2023,8.8,vendor
2017,9.8,vendor
2021,10.0,vendor
2018,7.6,vendor
2022,10.0,vendor
2018,8.6,vendor
2019,7.2,vendor
2018,7.5,vendor
2020,9.8,vendor
2019,9.9,vendor
2020,5.5,vendor
2022,6.7,vendor
2023,5.2,vendor
2017,7.5,vendor
2019,9.8,vendor
2022,7.5,vendor
2022,6.5,vendor
2021,7.2,vendor
2018,9.9,vendor
2018,5.7,vendor
2020,9.8,vendor
2020,7.5,vendor
2020,7.6,vendor
2018,8.1,vendor
2022,5.3,vendor
2017,9.6,vendor
2018,4.4,vendor
2023,8.1,vendor
2020,7.5,vendor
2022,8.8,vendor
2022,6.7,vendor
2022,7.5,vendor
2022,8.8,vendor
2022,6.5,vendor
2023,8.8,vendor
2022,6.9,vendor
2020,7.2,vendor
2023,8.8,vendor
2021,9.8,vendor
2019,7.8,vendor
2019,7.5,vendor
2022,6.7,vendor
2022,6.8,vendor
2022,4.8,vendor
2019,6.3,vendor
2022,4.8,vendor
2023,0.0,vendor
2021,9.8,vendor
2022,6.7,vendor
2016,5.9,vendor
2019,7.2,vendor
2023,8.1,vendor
2022,8.8,vendor
2022,7.8,vendor
2022,7.5,vendor
2019,7.2,vendor
2017,6.5,vendor
2023,7.2,vendor
2022,2.7,vendor
2018,9.1,vendor
2023,9.0,vendor
2021,8.8,vendor
2018,7.5,vendor
2019,4.9,vendor
2020,6.8,vendor
2021,9.8,vendor
2022,9.8,vendor
2018,7.6,vendor
2021,7.5,vendor
2023,7.5,vendor
2018,8.8,vendor
2023,5.9,vendor
2022,8.8,vendor
2018,7.5,vendor
2018,7.8,vendor
2021,7.8,vendor
2020,7.1,vendor
2021,8.0,vendor
2018,9.8,vendor
2017,6.7,vendor
2018,8.8,vendor
2021,7.8,vendor
2021,6.5,vendor
2022,7.5,vendor
2017,7.0,vendor
2020,9.8,vendor
2018,6.5,vendor
2019,10.0,vendor
2020,9.8,vendor
2023,6.5,vendor
2021,7.1,vendor
2016,9.8,vendor
2020,9.8,vendor
2017,7.5,vendor
2018,5.3,vendor
2018,8.1,vendor
2018,9.0,vendor
2019,5.3,vendor
2017,9.8,vendor
2022,8.8,vendor
2018,7.8,vendor
2020,6.5,vendor
2020,6.5,vendor
2017,5.4,vendor
2020,7.8,vendor
2021,10.0,vendor
2021,7.2,vendor
2023,7.2,vendor
2019,4.9,vendor
2019,9.1,vendor
2022,6.8,vendor
2023,6.7,vendor
2022,7.8,vendor
2023,9.8,vendor
2017,9.8,vendor
2017,9.9,vendor
2018,8.2,vendor
2023,9.8,vendor
2018,7.5,vendor
2021,7.8,vendor
2022,0.0,vendor
2018,10.0,vendor
2023,8.6,vendor
2018,9.6,vendor
2021,6.7,vendor
2019,7.5,vendor
2020,5.9,vendor
2022,7.2,vendor
2019,9.8,vendor
2023,5.9,vendor
2020,8.1,vendor
2022,6.7,vendor
2022,2.7,vendor
2017,8.5,vendor
2017,8.5,vendor
2020,8.3,vendor
2019,7.8,vendor
2017,9.6,vendor
2018,6.8,vendor
2022,8.3,vendor
2018,7.5,vendor
2023,6.7,vendor
2019,4.9,vendor
2018,7.8,vendor
2021,7.5,vendor
2017,4.4,vendor
2019,6.2,vendor
2017,7.5,vendor
2018,8.1,vendor
2022,8.8,vendor
2021,7.5,vendor
2023,7.2,vendor
2020,5.7,vendor
2019,7.8,vendor
2023,7.5,vendor
